# date=2019-03-22;scenarioFile=scenario_jonquera.ini;landscapeFile=landscape/jonquera.lcp;ignitionFile=perimetres/jonquera_central_polygon_2.shp;perimeterResolution=30m;distanceResolution=30m;StartDate=2019-07-22 18:00:00;EndDate=2019-07-23 18:00:00;hoursOfSimulation=24
generation individual p0 p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 p13 p14 p15 p16 p17 p18 p19 p20 runtime maxRSS outputs cpu csw exit error
0 64 4 7 11 70 62 17 227 31 42 1.311649 0 0 0 0 0 0 0 0 0 0 0 925.88 379612 37896 99% 96014 0 2.015564 
0 65 6 13 2 26 70 17 60 49 72 1.170409 0 0 0 0 0 0 0 0 0 0 0 315.47 173660 36736 99% 31406 0 1.063160 
0 66 11 13 12 70 84 5 311 42 61 0.052134 0 0 0 0 0 0 0 0 0 0 0 20.89 43628 35704 99% 2371 0 1.005847 
0 67 12 6 12 55 98 4 353 43 82 0.047327 0 0 0 0 0 0 0 0 0 0 0 11.95 32176 35736 99% 1512 0 1.001037 
0 68 13 2 11 60 65 16 285 39 44 1.093664 0 0 0 0 0 0 0 0 0 0 0 1967.15 527900 38752 99% 193396 0 2.016227 
0 69 2 5 9 49 99 11 69 43 88 1.322659 0 0 0 0 0 0 0 0 0 0 0 37.10 56556 35960 99% 3905 0 1.025329 
0 70 3 12 7 27 73 13 120 43 75 0.360511 0 0 0 0 0 0 0 0 0 0 0 125.25 100860 36528 99% 12707 0 1.054781 
0 71 6 5 7 41 78 15 19 39 60 0.585897 0 0 0 0 0 0 0 0 0 0 0 407.23 228472 36936 99% 40374 0 1.422988 
0 72 7 2 6 61 84 14 93 50 54 0.782156 0 0 0 0 0 0 0 0 0 0 0 686.02 323472 37576 99% 67700 0 1.817211 
0 73 9 10 10 48 99 9 278 31 46 1.492235 0 0 0 0 0 0 0 0 0 0 0 154.09 129832 36688 99% 15389 0 1.122185 
0 74 5 4 9 42 63 9 127 44 59 1.368545 0 0 0 0 0 0 0 0 0 0 0 136.18 118724 36240 99% 13666 0 1.156098 
0 75 8 15 5 31 80 7 145 34 89 0.678855 0 0 0 0 0 0 0 0 0 0 0 14.28 36160 35736 99% 1666 0 1.002146 
0 76 3 8 10 34 71 21 175 39 44 1.597207 0 0 0 0 0 0 0 0 0 0 0 1534.95 547464 38176 99% 151041 0 2.115928 
0 77 12 8 8 62 68 13 349 34 95 1.895775 0 0 0 0 0 0 0 0 0 0 0 31.43 52260 35928 99% 3376 0 1.000446 
0 78 8 7 3 26 82 10 218 30 37 0.851592 0 0 0 0 0 0 0 0 0 0 0 260.16 174708 36856 99% 25963 0 1.299031 
0 79 2 10 5 31 77 14 185 44 94 0.351124 0 0 0 0 0 0 0 0 0 0 0 51.60 66356 36336 99% 5950 0 1.034202 
0 80 12 13 5 41 62 15 292 44 50 0.069283 0 0 0 0 0 0 0 0 0 0 0 839.55 320280 37376 99% 82921 0 1.253315 
0 81 2 15 3 38 71 24 43 36 89 0.667730 0 0 0 0 0 0 0 0 0 0 0 69.09 78360 36168 99% 7061 0 1.056891 
0 82 3 7 11 23 77 5 328 36 85 0.596846 0 0 0 0 0 0 0 0 0 0 0 14.67 34512 35680 99% 1673 0 1.007511 
0 83 7 2 14 32 83 14 215 46 54 0.324930 0 0 0 0 0 0 0 0 0 0 0 450.33 240072 37464 99% 48304 0 1.529320 
0 84 3 7 15 33 83 15 42 32 58 1.799455 0 0 0 0 0 0 0 0 0 0 0 435.23 242480 36792 99% 43594 0 1.278186 
0 85 14 6 3 27 88 13 79 48 92 0.330396 0 0 0 0 0 0 0 0 0 0 0 54.15 65252 36104 99% 5776 0 1 
0 86 4 6 7 31 80 9 328 36 36 1.394058 0 0 0 0 0 0 0 0 0 0 0 314.47 193980 36864 99% 31967 0 1.324601 
0 87 7 11 12 24 90 6 60 32 49 0.722817 0 0 0 0 0 0 0 0 0 0 0 43.60 67060 35840 99% 4663 0 1.049899 
0 88 8 2 9 60 90 7 192 46 35 0.125999 0 0 0 0 0 0 0 0 0 0 0 179.61 143704 36384 99% 18100 0 1.199402 
0 89 14 11 10 37 65 6 350 39 73 0.048142 0 0 0 0 0 0 0 0 0 0 0 15.89 39732 35792 99% 1775 0 1 
0 90 6 9 5 21 93 19 188 49 39 1.875009 0 0 0 0 0 0 0 0 0 0 0 1532.91 553732 38496 99% 151731 0 2.204164 
0 91 4 2 5 35 89 12 308 43 73 1.406495 0 0 0 0 0 0 0 0 0 0 0 106.90 100000 36320 99% 11049 0 1.074179 
0 92 9 7 2 43 79 12 266 31 43 0.953898 0 0 0 0 0 0 0 0 0 0 0 519.99 249100 37296 99% 51491 0 1.361407 
0 93 7 2 15 68 70 17 238 49 33 0.939019 0 0 0 0 0 0 0 0 0 0 0 2463.67 680764 38856 99% 242869 0 2.327265 
0 94 13 7 10 43 89 11 177 44 78 1.945515 0 0 0 0 0 0 0 0 0 0 0 44.94 61252 36104 99% 4759 0 1.000060 
0 95 12 8 2 32 71 18 47 45 70 0.826409 0 0 0 0 0 0 0 0 0 0 0 281.10 186656 36728 99% 28175 0 1.001736 
0 96 13 11 6 54 99 10 180 47 76 0.038553 0 0 0 0 0 0 0 0 0 0 0 39.87 58024 35976 99% 4176 0 1 
0 97 2 13 1 69 72 0 5 36 41 1.198006 0 0 0 0 0 0 0 0 0 0 0 36.64 59024 35768 99% 3914 0 1.023075 
0 98 11 12 14 23 71 3 129 38 33 0.133256 0 0 0 0 0 0 0 0 0 0 0 42.73 60508 35904 99% 4608 0 1.032430 
0 99 12 7 2 33 79 22 53 43 36 0.767339 0 0 0 0 0 0 0 0 0 0 0 3602.09 964420 3328 99% 353818 124 9999.990234 
0 100 2 11 12 57 85 10 300 38 57 0.364853 0 0 0 0 0 0 0 0 0 0 0 100.08 118496 36272 99% 10147 0 1.102353 
0 101 13 2 0 26 77 15 245 46 60 1.622196 0 0 0 0 0 0 0 0 0 0 0 404.18 219748 37312 99% 40196 0 1.249144 
0 102 13 13 3 43 77 16 164 43 76 0.282031 0 0 0 0 0 0 0 0 0 0 0 155.26 104296 36536 99% 15623 0 1 
0 103 14 6 9 61 74 9 283 42 83 1.427922 0 0 0 0 0 0 0 0 0 0 0 23.23 46212 35872 99% 2791 0 1 
0 104 7 13 11 42 70 1 357 32 68 0.652573 0 0 0 0 0 0 0 0 0 0 0 12.49 34568 35696 99% 1589 0 1.003388 
0 105 5 5 10 46 95 14 215 36 67 1.221412 0 0 0 0 0 0 0 0 0 0 0 210.60 150144 36792 99% 21469 0 1.090394 
0 106 15 5 0 55 82 15 288 46 52 0.505096 0 0 0 0 0 0 0 0 0 0 0 1064.47 357536 37592 99% 105108 0 1.440505 
0 107 14 15 12 62 93 24 44 46 82 0.442278 0 0 0 0 0 0 0 0 0 0 0 100.50 96428 36208 99% 10304 0 1 
0 108 11 4 3 37 90 12 250 46 95 0.566098 0 0 0 0 0 0 0 0 0 0 0 37.14 55480 35944 99% 4248 0 1.004400 
0 109 6 9 3 57 83 16 95 36 88 0.558450 0 0 0 0 0 0 0 0 0 0 0 100.74 86336 36392 99% 10143 0 1.020061 
0 110 5 14 8 37 64 18 94 45 35 1.425057 0 0 0 0 0 0 0 0 0 0 0 2315.93 724832 38896 99% 226780 0 2.090671 
0 111 4 15 3 23 80 14 121 31 68 1.590384 0 0 0 0 0 0 0 0 0 0 0 355.30 159604 36744 99% 35459 0 1.053142 
0 112 14 2 12 32 97 13 299 36 41 0.596223 0 0 0 0 0 0 0 0 0 0 0 1274.26 394116 38008 99% 125070 0 1.618062 
0 113 9 4 12 40 67 2 359 34 65 1.574666 0 0 0 0 0 0 0 0 0 0 0 15.85 37172 35672 99% 1934 0 1.007330 
0 114 14 2 4 55 66 24 151 48 38 1.785296 0 0 0 0 0 0 0 0 0 0 0 2651.15 866244 38824 99% 260177 0 2.774570 
0 115 2 10 0 63 100 10 148 34 69 0.581667 0 0 0 0 0 0 0 0 0 0 0 98.02 88332 36168 99% 10226 0 1.044920 
0 116 7 4 12 57 81 15 124 47 34 0.323170 0 0 0 0 0 0 0 0 0 0 0 1619.26 573940 38640 99% 159875 0 2.587754 
0 117 3 2 0 63 95 14 28 46 94 0.764707 0 0 0 0 0 0 0 0 0 0 0 73.23 82588 36144 99% 7615 0 1.044896 
0 118 2 2 8 29 76 25 319 31 100 1.885577 0 0 0 0 0 0 0 0 0 0 0 0.74 22164 8 95% 74 0 9999.990234 
0 119 2 8 6 52 97 14 37 43 52 1.390710 0 0 0 0 0 0 0 0 0 0 0 409.03 262712 37192 99% 40365 0 1.666249 
0 120 13 2 15 53 68 7 185 36 48 0.221245 0 0 0 0 0 0 0 0 0 0 0 93.97 102052 36208 99% 9591 0 1.107284 
0 121 5 13 1 67 95 13 115 47 96 0.282295 0 0 0 0 0 0 0 0 0 0 0 27.54 47328 35920 99% 2955 0 1.015371 
0 122 14 11 7 34 67 13 356 32 98 1.324606 0 0 0 0 0 0 0 0 0 0 0 33.14 53132 36064 99% 3817 0 1 
0 123 2 11 5 20 63 12 286 38 85 0.744262 0 0 0 0 0 0 0 0 0 0 0 44.43 61692 36040 99% 4609 0 1.028886 
0 124 12 2 6 32 92 19 292 40 38 0.016749 0 0 0 0 0 0 0 0 0 0 0 3374.90 788068 39792 99% 330883 0 2.940529 
0 125 5 15 11 61 92 10 151 33 70 1.673502 0 0 0 0 0 0 0 0 0 0 0 75.50 78340 36160 99% 7739 0 1.021785 
0 126 15 4 4 30 95 18 177 41 85 1.947082 0 0 0 0 0 0 0 0 0 0 0 144.71 104528 36520 99% 14710 0 1 
0 127 11 2 9 67 80 12 217 42 67 1.451244 0 0 0 0 0 0 0 0 0 0 0 114.68 117624 36544 99% 11758 0 1.063642 
0 128 3 4 4 66 94 5 124 32 95 1.277581 0 0 0 0 0 0 0 0 0 0 0 11.96 31616 35656 99% 2512 0 1.006173 
0 129 13 6 9 38 65 7 111 42 49 1.116934 0 0 0 0 0 0 0 0 0 0 0 81.67 93388 36152 99% 8298 0 1.087054 
0 130 10 12 5 33 93 6 274 37 37 0.039302 0 0 0 0 0 0 0 0 0 0 0 69.21 81144 36040 99% 7061 0 1.085246 
0 131 11 7 13 28 62 5 302 41 40 0.400112 0 0 0 0 0 0 0 0 0 0 0 53.96 70244 35960 99% 5766 0 1.068067 
0 132 10 7 15 46 85 22 93 45 92 0.743286 0 0 0 0 0 0 0 0 0 0 0 152.19 108272 36456 99% 15540 0 1.005582 
