# jonquera scenario; 30 hours of prediction; ignition from central polygon; single core execution; scenario.ini: landscapeFile=landscape/jonquera.lcp;ignitionFile=perimetres/jonquera_central_polygon_2.shp;perimeterResolution=30m;distanceResolution=30m;StartDate=2019-07-22 12:00:00;EndDate=2019-07-23 18:30:00;hoursOfSimulation=30
generation individual p0 p1  p2        p3        p4        p5        p6        p7        p8       p9      p10      p11      p12      p13      p14      p15   p16      p17      p18      p19      p20 runtime maxRSS outputs cpu csw exit error
0 55 15 12 10 63 93 11 316 42 31 1.520366 0 0 0 0 0 0 0 0 0 0 0 773.56 528316 39072 100% 78867 0 1.513659 
0 56 15 12 12 53 90 14 6 30 65 0.213427 0 0 0 0 0 0 0 0 0 0 0 162.92 224488 37696 99% 18492 0 1.549863 
0 57 7 12 10 54 86 19 25 41 35 0.056021 0 0 0 0 0 0 0 0 0 0 0 2472.94 1269656 40824 99% 281339 0 4.114518 
0 58 8 6 13 60 65 12 52 33 64 1.060354 0 0 0 0 0 0 0 0 0 0 0 188.46 240572 37376 98% 19704 0 1.693410 
0 59 13 14 8 41 76 1 350 36 64 0.425302 0 0 0 0 0 0 0 0 0 0 0 9.66 45852 35784 99% 1364 0 1.018494 
0 60 2 8 9 37 94 7 252 40 85 1.525059 0 0 0 0 0 0 0 0 0 0 0 15.34 58668 36160 99% 1997 0 1.081244 
0 61 2 11 3 27 81 16 124 36 96 0.913077 0 0 0 0 0 0 0 0 0 0 0 158.85 192552 39160 99% 18093 0 1.325565 
0 62 6 14 8 23 66 5 340 47 51 0.800911 0 0 0 0 0 0 0 0 0 0 0 39.45 101340 36128 99% 4855 0 1.081726 
0 63 9 3 4 25 100 15 67 44 35 1.943679 0 0 0 0 0 0 0 0 0 0 0 1253.74 830160 40056 100% 124222 0 2.495551 
0 64 4 7 11 70 62 17 227 31 42 1.311649 0 0 0 0 0 0 0 0 0 0 0 860.48 653552 38840 100% 86099 0 2.307132 
